patent_id,title,abstract,ipc_codes,cpc_codes,cites,cited_by,publication_year
107-390-472-464-097,"전하 이동 염, 전자 장치 및 이의 제조 방법","본 발명은 하나 이상의 n-도판트를 포함하는 하나 이상의 기로 치환된 제 1 반복 단위를 포함하는 중합체에 의해 도핑된 유기 반도체로부터 형성된 전하 이동 염에 관한 것이다. 상기 n-도판트는, 상기 유기 반도체를 자발적으로 도핑할 수 있거나, 또는 활성화시에 상기 유기 반도체를 n-도핑할 수 있다. 유기 발광 장치의 전자 주입층은 상기 n-도핑된 반도체를 포함할 수 있다.",H10K99/00; C08G61/02; C08G61/12; C08L65/00,C08G61/02; C08G2261/1424; C08G2261/148; C08G2261/514; C08G2261/95; C08L2205/02; H10K50/11; H10K50/171; H10K71/12; H10K85/111; H10K85/115; H10K85/611; C07D235/14; H01L51/5052; H01L51/5052; H01L51/5052; H10K50/165; H10K50/171; H10K71/30; H10K85/6572; H10K85/111; C08G61/02; C08G61/126; C08G2261/1424; C08G2261/148; C08G2261/514; C08G2261/95; C08L65/00; C08L2205/02; H10K50/11; H10K50/171; H10K85/115; C08G61/02; C08G2261/1424; C08G2261/148; C08G2261/514; C08G2261/95; C08L2205/02; H10K50/11; H10K50/171; H10K71/00; H10K71/12; H10K85/111; H10K85/115,,,2018
068-830-189-030-502,"DOPANT, CHARGE TRANSFER SALT AND ORGANIC ELECTRONIC DEVICE",,C07D235/18; H10K99/00; C08G61/02; C08G61/10; H01B1/12,C08G61/02; C07D235/18; C08G2261/124; C08G2261/1412; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/314; C08G2261/3142; C08G2261/411; C08G2261/514; C08G2261/5222; C08G2261/792; C08G2261/95; C08L2205/02; C09K11/06; H01B1/128; H10K50/165; H10K50/171; H10K71/12; H10K71/15; H10K85/111; H10K85/115; H10K85/611; C07D235/14; C09K11/06; H01L51/5052; H01L51/5052; H01L51/5052; H10K50/171; H10K71/15; H10K85/141; H10K85/6572; C07D235/18; C08G61/02; C08G2261/143; C08G2261/514; C08G2261/5222; C08L65/00; C08L101/025; H10K50/171; H10K71/15; H10K85/111; H10K85/115; H10K85/6572; C08G61/02; C07D235/18; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/3142; C08G2261/514; C08G2261/95; C08L101/025; C09K11/06; H01B1/128; H10K50/171; H10K71/00; H10K71/15; H10K71/441; H10K85/115; H10K85/611; H10K85/6572; H10K2101/30; H10K2102/103,,,2018
122-303-441-049-478,"CHARGE TRANSFER SALT, ELECTRONIC DEVICE AND METHOD OF FORMING THE SAME",,C08G61/02; H10K99/00; C08G61/10; H01B1/12,C08G61/02; C07D235/18; C08G2261/124; C08G2261/1412; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/314; C08G2261/3142; C08G2261/411; C08G2261/514; C08G2261/5222; C08G2261/792; C08G2261/95; C08L2205/02; C09K11/06; H01B1/128; H10K50/165; H10K50/171; H10K71/12; H10K71/15; H10K85/111; H10K85/115; H10K85/611; C07D235/14; C09K11/06; H01L51/5052; H01L51/5052; H01L51/5052; H10K50/171; H10K71/15; H10K85/141; H10K85/6572; C07D235/18; C08G61/02; C08G2261/143; C08G2261/514; C08G2261/5222; C08L65/00; C08L101/025; H10K50/171; H10K71/15; H10K85/111; H10K85/115; H10K85/6572; C08G61/02; C07D235/18; C08G2261/1424; C08G2261/1426; C08G2261/143; C08G2261/148; C08G2261/3142; C08G2261/514; C08G2261/95; C08L101/025; C09K11/06; H01B1/128; H10K50/171; H10K71/00; H10K71/15; H10K71/441; H10K85/115; H10K85/611; H10K85/6572; H10K2101/30; H10K2102/103,,,2018
013-942-549-430-704,MANUFACTURING METHOD OF SIC COMPOSITE SUBSTRATE,"Provided is a manufacturing method of an SiC composite substrate 10 that comprises a single crystal SiC layer 12 on a polycrystalline SiC substrate 11, wherein, after manufacturing a single crystal SiC layer supporting body 14 by providing the single crystal SiC layer 12 on one surface of a holding substrate 21 comprising Si, a polycrystalline SiC is deposited on the single crystal SiC layer 12 through chemical vapor deposition to manufacture an SiC laminated body 15 laminated with the single crystal SiC layer 12 and the polycrystalline SiC layer 11 having a thickness t on the holding substrate 21', during which time, the single crystal SiC layer supporting body 14 is heated at a temperature less than 1,414 degrees Celsius, and a portion of the thickness t of the polycrystalline SiC is deposited, and subsequently, while raising the temperature to 1,414 degrees Celsius or higher to melt at least a portion of the holding substrate 21, the polycrystalline SiC is further deposited until the thickness t is reached and then cooled, and thereafter, the holding substrate 21' is physically and/or chemically removed. According to the present invention, an SiC composite substrate having a single-crystalline SiC layer with good crystallinity and less warpage can be obtained by a simple manufacturing process.",C30B29/36; C23C16/01; C23C16/42; C30B25/18; C30B33/06,C30B33/06; C23C16/01; C23C16/42; C30B25/18; C30B25/186; C30B29/36; H10P90/1904; C23C16/01; C23C16/325; C23C28/04; C23C28/42; C23C28/44; C30B25/20; C30B25/22; C30B29/36; C30B29/68; H01L21/205; H01L21/205; H01L21/205; H10D8/30; H10D8/50; H10D8/60; H10D12/411; H10D30/00; H10D62/81; H10P14/20; H10P14/24; H10P14/3208; H10P14/3238; H10P14/3408; H10P14/3456; H10P14/36; H10P30/20; H10P90/1916; H10W10/181; C30B33/06; C23C16/01; C23C16/325; C23C16/42; C30B25/18; C30B25/186; C30B29/36,,102-699-425-022-505; 059-477-650-005-858; 172-530-428-741-017; 090-570-961-647-874; 113-706-855-102-750; 081-400-798-761-862,2018
136-940-066-898-928,反应性溅射装置,本发明涉及种反应性溅射装置，包括：基板搬送部，搬送基板；及工序腔室，对通过所述基板搬送部搬送的基板，执行反应性溅射工序，所述工序腔室，包括：2个以上的第1阴极模块，用于在通过所述基板搬送部搬送的基板的第1区域上蒸镀第1氧化物薄膜；及1个以上的第2阴极模块，用于在通过所述基板搬送部搬送的所述基板的第1区域中部分之外的第2区域上蒸镀第2氧化物薄膜。,C23C14/34; C23C14/08; C23C14/56,C23C14/0036; C23C14/08; C23C14/566; C23C14/568; H10P14/6329; H01L21/203; H01L21/203; H01L21/203; H10P72/0462; H10P72/3208,,,2018
074-109-985-224-264,"CHARGE TRANSFER SALT, ELECTRONIC DEVICE AND METHOD OF FORMING THE SAME",A charge-transfer salt formed from an organic semiconductor doped by a polymer comprising a first repeat unit substituted with at least one group comprising at least one n-dopant. The n-dopant may spontaneously n-dope the organic semiconductor or may n-dope the organic semiconductor upon activation. An electron-injection layer of an organic light-emitting device may comprise the n-doped semiconductor.,H10K99/00; C08G61/00; C08G73/00,C08G61/02; C08G2261/1424; C08G2261/148; C08G2261/514; C08G2261/95; C08L2205/02; H10K50/11; H10K50/171; H10K71/12; H10K85/111; H10K85/115; H10K85/611; C07D235/14; H01L51/5052; H01L51/5052; H01L51/5052; H10K50/165; H10K50/171; H10K71/30; H10K85/6572; H10K85/111; C08G61/02; C08G61/126; C08G2261/1424; C08G2261/148; C08G2261/514; C08G2261/95; C08L65/00; C08L2205/02; H10K50/11; H10K50/171; H10K85/115; C08G61/02; C08G2261/1424; C08G2261/148; C08G2261/514; C08G2261/95; C08L2205/02; H10K50/11; H10K50/171; H10K71/00; H10K71/12; H10K85/111; H10K85/115,168-407-813-982-222; 039-173-473-723-120; 027-590-411-261-006; 033-105-669-713-933; 155-800-362-178-321; 133-955-333-264-667; 018-438-064-173-710; 006-767-148-063-481; 107-427-358-028-589; 108-995-683-883-791,,2018
023-236-574-796-614,Thin film forming apparatus,"Disclosed is a thin film forming apparatus capable of forming a uniform deposition film by locally heating a substrate. In order to achieve the above objective, the present invention provides the thin film forming apparatus, which supplies a source gas onto a surface of a substrate, irradiates the supplied source gas with laser light, and forms a thin film on the substrate by the source gas reacting with the laser light to correct a defect of the substrate. In the thin film forming apparatus, a chamber unit is provided on an upper portion of the substrate, the chamber unit is formed with a gas retention space for retaining the source gas and provided with a window for covering an upper opening of the gas retention space to allow the laser light to be irradiated from an upper portion of the window, and a plurality of pipes for supplying a gas into the chamber unit and exhausting the gas from the chamber unit are connected to the chamber unit.",H01L21/20; H01L21/02; H01L21/268; H01L21/324; H01L21/67,C23C16/481; C23C16/047; C23C16/46; H01L21/2026; H01L21/2026; H01L21/2026; H10P14/6329; H10P34/42; H10P72/0431; H10P95/90,140-476-499-152-732; 060-932-975-198-835; 116-175-265-291-415; 096-115-293-284-572; 180-226-939-787-715,,2018
117-692-829-024-278,Thin film forming apparatus,"Disclosed is a thin film forming apparatus capable of forming a uniform deposition film by locally heating a substrate. In order to achieve the above objective, the present invention provides the thin film forming apparatus, which supplies a source gas onto a surface of a substrate, irradiates the supplied source gas with laser light, and forms a thin film on the substrate by the source gas reacting with the laser light to correct a defect of the substrate. In the thin film forming apparatus, a chamber unit is provided on an upper portion of the substrate, the chamber unit is formed with a gas retention space for retaining the source gas and provided with a window for covering an upper opening of the gas retention space to allow the laser light to be irradiated from an upper portion of the window, and a plurality of pipes for supplying a gas into the chamber unit and exhausting the gas from the chamber unit are connected to the chamber unit.",H01L21/20; H01L21/02; H01L21/268; H01L21/324; H01L21/67,C23C16/481; C23C16/047; C23C16/46; H01L21/2026; H01L21/2026; H01L21/2026; H10P14/6329; H10P34/42; H10P72/0431; H10P95/90,140-476-499-152-732; 060-932-975-198-835; 044-329-244-691-793; 132-673-764-712-247; 019-140-742-107-558; 096-115-293-284-572; 180-226-939-787-715,,2018
013-600-720-977-524,Thin film forming apparatus,"Disclosed is a thin film forming apparatus capable of forming a uniform deposition film by locally heating a substrate. In order to achieve the above objective, the present invention provides the thin film forming apparatus, which supplies a source gas onto a surface of a substrate, irradiates the supplied source gas with laser light, and forms a thin film on the substrate by the source gas reacting with the laser light to correct a defect of the substrate. In the thin film forming apparatus, a chamber unit is provided on an upper portion of the substrate, the chamber unit is formed with a gas retention space for retaining the source gas and provided with a window for covering an upper opening of the gas retention space to allow the laser light to be irradiated from an upper portion of the window, and a plurality of pipes for supplying a gas into the chamber unit and exhausting the gas from the chamber unit are connected to the chamber unit.",H01L21/20; H01L21/02; H01L21/268; H01L21/324; H01L21/67,C23C16/483; C23C16/45502; H01L21/2026; H01L21/2026; H01L21/2026; H10P14/6329; H10P34/42; H10P72/0431; H10P95/90,140-476-499-152-732; 116-175-265-291-415; 132-673-764-712-247; 096-115-293-284-572; 180-226-939-787-715; 051-400-776-799-837,,2018
104-854-930-288-080,ORGANIC HOLE TRANSPORT MATERIAL,"The present invention relates to an organic hole transport material, comprising critical building blocks including triarylamine, carbazole, and spirofluorene, and having a structure represented by formula (I), wherein R1 and R2 are each independently selected from hydrogen, an alkyl having 1 to 8 carbon atoms, an alkylene having 2 to 8 carbon atoms, an alkynyl having 2 to 8 carbon atoms, or an aryl having 5 to 20 carbon atoms. Experiments showed that the organic hole transport material of the present invention has a high glass transition temperature and a high thermal stability, and a hole-only semiconductor diode device prepared therefrom has good and stable performance and a long device lifetime.",C07D209/86; H01L51/50; H01L51/54,C07D209/86; H01L51/5052; H01L51/5052; H01L51/5052; H10K85/624; H10K85/626; H10K85/6572; C07D209/86; H10K50/155; H10K85/624; H10K85/626; H10K85/6572; C07D209/86; H10K50/155,091-628-253-109-309; 169-572-122-288-819; 072-841-491-177-845; 113-520-864-112-250; 021-309-269-709-539; 135-293-475-025-058,149-295-112-869-275,2018
001-310-687-365-145,"TEMPLATE FOR EPITAXIAL GROWTH AND METHOD OF PREPARING SAME, AND NITRIDE SEMICONDUCTOR DEVICE",,C30B29/38; H01L21/20; H01L21/205; H01L33/32,C30B25/183; C30B29/406; H01S5/0213; H01S5/32341; H01S2301/173; H01S2304/04; H10H20/01335; H10P14/203; H10P14/24; H10P14/2921; H10P14/3216; H10P14/3416; H10P14/36; H10P14/20; C30B29/38; H01L21/203; H01L21/203; H01L21/203; H01L21/205; H01L21/205; H01L21/205; H10P14/3216; C30B25/183; C30B29/38; C30B29/406; C30B31/08; H01S5/0213; H01S5/32341; H01S2301/173; H01S2304/04; H10H20/01335; H10H20/812; H10H20/815; H10H20/8162; H10H20/825; H10P14/20; H10P14/203; H10P14/24; H10P14/2921; H10P14/3216; H10P14/3416; H10P14/36,160-157-372-883-949; 074-372-214-090-18X; 149-255-704-899-068,,2018
003-098-390-361-183,Large sized showerhead assembly,"The invention relates to a large sized showerhead assembly. The large sized showerhead assembly is characterized by comprising a backing plate disposed in the upper part of a chamber, and a showerhead, which is disposed on the lower part of the backing plate and supplies gas to a substrate, wherein the showerhead is connected to the backing plate to thermally expand. The provided large sized showerhead assembly has the advantages that when the large sized showerhead assembly is connected to the backing plate, the showerhead assembly will not droop and is firmly connected, and volume change caused by thermal expansion is tolerable.",H10K99/00,H10K71/00; H01J37/3244; C23C16/45565; H01J37/32091; H01J37/32477; H10K71/00; C23C16/45565; H01L21/205; H01L21/205; H01L21/205; H10K71/10; H10P14/6339; H01J37/3244; C23C16/45565; C23C16/5096; H01J37/32091; H01J37/32477; H01J2237/3321; H01J2237/3323; H01J2237/3325,044-916-670-596-269; 002-709-368-822-004; 030-412-656-670-47X; 028-797-689-438-878; 172-374-237-084-542; 064-676-951-274-501; 056-688-647-443-778; 117-101-873-154-654,,2018
178-284-890-304-260,The organic hole-transporting material,"The present invention relates to an organic hole transporting material, comprising a triarylamine, carbazole and fluorene spiro key building blocks, having a structure according to formula (I), wherein, Rl and R2 are each independently selected from hydrogen, having from 1 to 8 alkyl group carbon atoms, an alkenyl group having 2 to 8 carbon atoms, an alkynyl group having 2 to 8 carbon atoms or an aromatic group having 5 to 20 carbon atoms. Experiments show that the organic hole-transporting material of the present invention has a high glass transition temperature, high thermal stability, good hole-only device performance of the organic semiconductor diode prepared and stable, long life of the device.",C07D209/86; C09K11/06; H01L51/50; H05B33/22,C07D209/86; H01L51/5052; H01L51/5052; H01L51/5052; H10K85/624; H10K85/626; H10K85/6572; C07D209/86; H10K50/155; H10K85/624; H10K85/626; H10K85/6572; C07D209/86; H10K50/155,,,2018
